VMM=3, CKTPrunning=1, PDAC=40, XADC=72, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=139, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=178, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=51, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=125, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=71, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=135, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=73, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=139, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=178, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=49, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=125, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=69, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=137, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=73, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=140, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=179, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=51, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=125, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=70, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=135, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=137, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=73, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=138, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=179, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=51, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=125, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=72, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=71, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=139, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=182, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=52, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=126, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=72, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=135, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=74, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=139, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=181, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=51, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=126, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=71, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=136, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=139, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=73, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=138, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=179, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=51, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=126, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=71, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=138, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=137, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=74, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=141, MMFE8=126
